구분,유통사,사업자명,사업자등록번호,7월 상품명,7월 판매건수,7월 매출액,7월 판촉액(쿠폰),8월 누적데이터 상태,원인 분석
농산물,네이버,여주시농협조합공동사업법인,126-82-11620,"여주시농협RPC 대왕님표 여주쌀 진상미 당일도정 25년 햅쌀 10kg, 1개 [원산지:국산(경기도 여주시)]",2393,104954500,4684290,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,별마루농원,508-90-95905,신비복숭아 황도 백도 황도복숭아 쫀득이 딱딱이 선물용 프리미엄 복숭아 3kg 별마루농원 [원산지:국산(경상북도 의성군)],2057,86769670,4883600,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인(주)운림가,412-81-31307,운림가 55년전통 국산 알타리 총각김치 2kg [원산지:국산],2743,52666800,164960,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인(주)운림가,412-81-31307,운림가 55년전통 국내산 쪽 파김치 1kg [원산지:국산],2217,45657100,191600,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,여주시농협조합공동사업법인,126-82-11620,"여주시농협RPC 대왕님표 여주쌀 진상미 당일도정 25년 햅쌀 10kg, 2개 [원산지:국산(경기도 여주시)]",338,44247000,350000,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 랑이네세상 주식회사,488-88-03205,25년 햅쌀/삼광 고시히카리 10Kg 강화섬쌀 최근 도정 신선한 랑이네 갓 도정쌀 정미소직판 [원산지:국산(인천광역시 강화군)],991,39641300,4488490,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,청운유통,540-93-02100,"[농할쿠폰] 한돈 삼겹살 구이용 냉장, 500g, 2개 [원산지:국산]",681,19334100,363740,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,팜166,593-91-01533,자두 도담자두 의성옥자두 후무사 대석 5kg GAP [원산지:국산(경상북도 의성군)],356,15279260,1160980,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,로토정,701-93-02082,로토정 유럽종 완숙토마토 5kg [원산지:국산(경상북도 봉화군)],426,8812400,101200,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,팜166,593-91-01533,복숭아 황도 양홍장 건강한 정직한 고당도 프리미엄 가을복숭아 반딱딱이 의성햇살어린 4kg [원산지:국산(경상북도 의성군)],238,8152930,669540,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 랑이네세상 주식회사,488-88-03205,백미·7분도 5kg/25년 고시히카리 햅쌀/당일도정 특등급/랑이네갓도정쌀 지퍼백포장 [원산지:국산(인천광역시 강화군)],217,7669100,203450,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,청운유통,540-93-02100,"[농할쿠폰] 한돈 목살 구이용 냉장, 500g, 2개 [원산지:국산]",198,5924200,171480,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,농업회사법인 유한회사 해오름팜농장,209-87-01228,농부가바로팜 무항생제 Non-Gmo 동물복지 유정란 60구 신선계란 난각번호2번 [원산지:국산(전라남도 나주시)],145,5408020,796330,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,온드리 목장,519-33-01006,온드리목장 500g 무가당 꾸덕한 그릭요거트 산미없이 고소한 [원산지:국산(전라남도 화순군)],367,5219500,333680,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,영농조합법인아농이,308-81-31629,고창 하우스 당도선별 아삭한 꿀수박 산지직송 5kg 6kg 7kg 8kg 9kg [원산지:국산 등],164,4300400,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,여주시농협조합공동사업법인,126-82-11620,"여주시농협RPC 대왕님표 여주쌀 현미 진상 당일도정 25년 햅쌀 10kg, 1개 [원산지:국산(경기도 여주시)]",80,3433500,51600,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,감익는마을 천연식초,615-19-39008,감익는마을 7년숙성 천연 감식초 1.5L 항아리발효 자연침전 무설탕 무첨가 [원산지:국산(경상남도 밀양시)],80,2122000,175800,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,영농조합법인아농이,308-81-31629,복숭아 신비복숭아 납작복숭아 대극천 딱복 물복 말랑이 황도 백도 신선 경봉 [원산지:국산(경상북도 경산시) 등],74,1901600,116480,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,예다움곶감,540-96-00855,예다움 상주 곶감 반건시 크림치즈호두말이 곶감단지 실속형 가정용 디저트 선물세트 와인안주 [원산지:상세설명에 표시],51,1826300,36180,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,달아유과수원,821-15-02618,[달과] 꿀당도 칠곡 복숭아 1.5kg 선물용 황도 백도 천중도 망고맛 빅복숭아 신선 과일 / 달아유과수원 [원산지:국산(경상북도 칠곡군)],47,1704600,80240,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,제주점순이네,372-94-01830,[당일발송]제주 미니단호박 밤호박 보우짱 1kg 2kg 3kg 5kg 10kg 가정용 산지직송 [원산지:국산(제주특별자치도 서귀포시)],48,1673000,82000,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,온드리 목장,519-33-01006,온드리목장 500g 무지방 무가당 그릭요거트 [원산지:국산(전라남도 화순군)],133,1604300,65960,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,로토정,701-93-02082,GAP 토마토 2.5kg 유럽종 완숙토마토 [원산지:국산(경상북도 봉화군)],144,1586600,30050,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,현풍떡갈비,671-67-00557,"아기떡갈비 한우 한돈 수제 패티 현풍 세가지맛 3팩, 90g, 15개 [원산지:상세설명에 표시]",46,1556900,81520,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
농산물,네이버,영농조합법인아농이,308-81-31629,경북 김천 산지직송 당일수확 햇 자두 1kg 가정용 [원산지:국산 등],45,1330700,0,미존재 (누락),스마트스토어 상품/옵션 삭제 또는 8월 기획전 로우데이터 연동 누락
